job_id,job_title,company,location,industry,seniority_level,remote_type,salary_min_usd,salary_max_usd,avg_salary_usd,skills,posting_date,num_applicants
100061,Business Data Analyst,Lighthouse Nonprofit,"Atlanta, GA",Energy,Mid,Hybrid,63500,86000,74750,ETL; Excel; Looker; Tableau; VBA,2026-04-29,174
100062,Senior Data Analyst,Timberline Agriculture,"Washington, DC",Retail,Senior,Hybrid,96500,151000,123750,Excel; Google Analytics; Looker; Machine Learning; Python; SQL,2025-12-16,350
100063,Lead Data Analyst,Meridian Energy,"Los Angeles, CA",Hospitality,Senior,Hybrid,105000,161500,133250,A/B Testing; Python; SQL,2025-10-25,387
100064,Senior Data Analyst,Brightpath Education,"Chicago, IL",Telecommunications,Senior,Hybrid,97500,138500,118000,AWS; Excel; Google Analytics; SQL; VBA,2025-12-31,196
100065,Financial Data Analyst,Orbit Logistics,"Atlanta, GA",Logistics & Supply Chain,Mid,Hybrid,62000,83500,72750,A/B Testing; ETL; Excel; Python,2026-02-22,331
100066,Data Analytics Manager,Ironclad Manufacturing,"Dallas, TX",Hospitality,Senior,Remote,90000,138000,114000,AWS; Business Intelligence; Data Visualization; Excel; Google Analytics; Python; SQL,2025-12-02,106
100067,Financial Data Analyst,Timberline Agriculture,"Raleigh, NC",Retail,Mid,Remote,60000,86500,73250,Data Modeling; ETL; Excel; Machine Learning; SQL,2026-05-07,386
100068,Entry Level Data Analyst,Sapphire Cloud Services,"Remote, US",Telecommunications,Entry,Onsite,47500,65000,56250,Data Modeling; Excel; Machine Learning; Tableau,2025-12-06,230
100069,Data Analyst,TidalWave Gaming,"Charlotte, NC",Nonprofit,Mid,Remote,60500,80500,70500,Communication; Data Visualization; Machine Learning; SQL; Statistics; Tableau,2026-03-04,156
100070,Marketing Data Analyst,Granite Construction,"Chicago, IL",Education,Mid,Onsite,64000,103000,83500,Azure; Data Visualization; ETL; Excel; Python; SQL,2026-02-18,193
100071,Data Analytics Manager,TidalWave Gaming,"Phoenix, AZ",Real Estate,Senior,Hybrid,80000,125500,102750,A/B Testing; Azure; Google Analytics; Python; SQL; VBA,2026-06-24,159
100072,Financial Data Analyst,Cascade Health Systems,"Seattle, WA",Financial Services,Mid,Onsite,74500,110500,92500,Azure; Excel; SQL,2026-06-22,281
100073,Financial Data Analyst,TidalWave Gaming,"Seattle, WA",Pharmaceuticals,Mid,Hybrid,72500,110500,91500,A/B Testing; Business Intelligence; Data Visualization; Excel; Machine Learning; Statistics,2026-01-02,55
100074,Marketing Data Analyst,Nova Software,"Charlotte, NC",Financial Services,Mid,Hybrid,55000,78000,66500,Excel; Google Analytics; Power BI; Python; SQL; Statistics,2025-09-03,294
100075,Business Data Analyst,Vertex Financial Group,"Miami, FL",Technology,Mid,Hybrid,64500,85500,75000,Data Modeling; Machine Learning; SQL; Tableau,2026-04-03,133
100076,Junior Data Analyst,Cascade Health Systems,"New York, NY",Healthcare,Entry,Remote,58500,76500,67500,Excel; Machine Learning; R; SQL; Tableau,2026-02-01,274
100077,Senior Data Analyst,Falcon Security,"Austin, TX",Education,Senior,Hybrid,91000,141500,116250,A/B Testing; AWS; Data Modeling; Excel; SQL; VBA,2025-07-16,36
100078,Entry Level Data Analyst,Timberline Agriculture,"Phoenix, AZ",Media & Entertainment,Entry,Hybrid,43000,64500,53750,Excel; Google Analytics; SQL,2026-05-21,304
100079,Lead Data Analyst,Lighthouse Nonprofit,"Los Angeles, CA",Media & Entertainment,Senior,Onsite,102000,152000,127000,A/B Testing; Azure; Data Modeling; Power BI; SQL; Statistics; VBA,2026-01-21,217
100080,Senior Data Analyst,Quantum Robotics,"Minneapolis, MN",Manufacturing,Senior,Hybrid,82500,120000,101250,Azure; Communication; Data Modeling; Excel; SQL; VBA,2026-01-07,71
100081,Lead Data Analyst,BluePeak Retail,"Philadelphia, PA",Logistics & Supply Chain,Senior,Hybrid,90500,131500,111000,AWS; Data Visualization; Excel; Power BI; SQL; VBA,2026-03-04,119
100082,Senior Data Analyst,Stellar Telecom,"Miami, FL",Manufacturing,Senior,Remote,83000,124000,103500,Azure; Data Modeling; Excel; Machine Learning; SQL; VBA,2025-12-06,178
100083,Marketing Data Analyst,Northwind Analytics,"Boston, MA",Real Estate,Mid,Remote,75000,99000,87000,Excel; SQL; Snowflake,2025-09-19,194
100084,Data Analytics Manager,Falcon Security,"Los Angeles, CA",Telecommunications,Senior,Onsite,103000,161500,132250,Excel; Machine Learning; Python; SQL,2026-02-03,253
100085,Data Analyst Intern,Ironclad Manufacturing,"Minneapolis, MN",Insurance,Entry,Remote,44500,61500,53000,Excel; SQL; VBA,2025-10-21,207
100086,Data Analyst Intern,BluePeak Retail,"New York, NY",Technology,Entry,Remote,54500,75500,65000,AWS; Google Analytics; Looker; Power BI; SQL,2025-09-28,71
100087,Financial Data Analyst,Nova Software,"Atlanta, GA",Logistics & Supply Chain,Mid,Hybrid,62000,85500,73750,Business Intelligence; Communication; Excel; Python; SQL; VBA,2025-12-08,299
100088,Financial Data Analyst,TidalWave Gaming,"Phoenix, AZ",Nonprofit,Mid,Hybrid,57000,83500,70250,Business Intelligence; Data Visualization; Excel; Python; R,2026-04-28,210
100089,Lead Data Analyst,Vertex Financial Group,"Phoenix, AZ",Real Estate,Senior,Remote,79500,119500,99500,Power BI; SQL; Snowflake; VBA,2025-12-26,184
100090,Junior Data Analyst,Harborline Bank,"Chicago, IL",Healthcare,Entry,Remote,47500,66000,56750,Business Intelligence; Looker; R,2026-02-15,353
100091,Data Analyst Intern,Amber Fashion Group,"Portland, OR",Manufacturing,Entry,Onsite,49000,64000,56500,Business Intelligence; Excel; Looker,2025-12-28,264
100092,Senior Data Analyst,GreenLeaf Foods,"Washington, DC",Education,Senior,Remote,95500,142000,118750,Excel; SQL; Snowflake,2025-07-22,235
100093,Data Analyst Intern,Amber Fashion Group,"Denver, CO",Manufacturing,Entry,Hybrid,47000,71000,59000,Excel; Google Analytics; Power BI; Python; R; Snowflake,2026-02-10,229
100094,Lead Data Analyst,Aurora Biotech,"Portland, OR",Healthcare,Senior,Hybrid,95000,133500,114250,Azure; Excel; Google Analytics; Python; SQL,2026-06-13,202
100095,Data Analytics Manager,Pinnacle Consulting,"Portland, OR",Real Estate,Senior,Remote,85000,139000,112000,ETL; Excel; Python; SQL; Tableau,2025-12-16,70
100096,Lead Data Analyst,Vertex Financial Group,"Minneapolis, MN",Logistics & Supply Chain,Senior,Hybrid,82500,120500,101500,Excel; Google Analytics; Looker; Statistics,2025-11-29,56
100097,Lead Data Analyst,Willow Hospitality,"Miami, FL",Real Estate,Senior,Onsite,86000,132000,109000,Communication; Data Modeling; Data Visualization; ETL; R; Snowflake; Tableau,2025-09-23,374
100098,Entry Level Data Analyst,BluePeak Retail,"Minneapolis, MN",Manufacturing,Entry,Hybrid,43000,62500,52750,A/B Testing; AWS; Azure; Business Intelligence; VBA,2025-10-08,193
100099,Data Analyst Intern,Ironclad Manufacturing,"Washington, DC",Telecommunications,Entry,Remote,51000,73500,62250,Excel; Machine Learning; SQL; Tableau,2026-01-07,288
100100,Senior Data Analyst,Lighthouse Nonprofit,"Columbus, OH",Real Estate,Senior,Remote,73500,111000,92250,A/B Testing; Communication; Excel; Python; SQL; Tableau,2025-07-14,217
100101,Data Analyst,Meridian Energy,"Columbus, OH",Manufacturing,Mid,Remote,60000,79500,69750,Excel; Google Analytics; Power BI,2025-11-24,246
100102,Junior Data Analyst,Willow Hospitality,"Raleigh, NC",Education,Entry,Hybrid,46000,57500,51750,Azure; Excel; SQL; Snowflake,2025-12-02,67
100103,Data Analyst,Harborline Bank,"Minneapolis, MN",Hospitality,Mid,Onsite,60000,82500,71250,A/B Testing; Azure; Data Modeling; Excel; SQL; Snowflake,2026-02-05,5
100104,Data Analyst Intern,Stellar Telecom,"Atlanta, GA",Energy,Entry,Hybrid,45500,59000,52250,Azure; Excel; Python; Snowflake; VBA,2026-02-26,27
100105,Financial Data Analyst,Stellar Telecom,"Dallas, TX",Nonprofit,Mid,Remote,65000,88000,76500,Excel; Google Analytics; SQL,2026-05-26,94
100106,Entry Level Data Analyst,Lighthouse Nonprofit,"Raleigh, NC",Hospitality,Entry,Remote,41500,63500,52500,AWS; Azure; Business Intelligence; Data Modeling; SQL; Statistics,2026-03-21,208
100107,Lead Data Analyst,Skyline Real Estate,"Dallas, TX",Financial Services,Senior,Onsite,83000,127500,105250,Excel; Google Analytics; Machine Learning,2026-01-21,385
100108,Entry Level Data Analyst,Coral Reef Travel,"Phoenix, AZ",Manufacturing,Entry,Onsite,43000,61000,52000,AWS; Azure; Communication; Excel; Python; SQL; VBA,2025-08-22,45
100109,Marketing Data Analyst,Copperfield Auto,"Remote, US",Insurance,Mid,Hybrid,65500,87500,76500,Business Intelligence; Communication; Data Modeling; Excel; SQL; Tableau,2025-07-30,43
100110,Financial Data Analyst,Stellar Telecom,"Columbus, OH",Telecommunications,Mid,Onsite,53500,75500,64500,A/B Testing; ETL; Excel; Google Analytics; Python; SQL; Tableau,2026-01-13,295
100111,Data Analyst,Crestline Airlines,"Seattle, WA",Hospitality,Mid,Hybrid,75500,109500,92500,Excel; SQL; Tableau,2025-11-20,132
100112,Senior Data Analyst,Northwind Analytics,"Boston, MA",Education,Senior,Hybrid,107500,144500,126000,AWS; Looker; SQL; Statistics; VBA,2026-02-17,93
100113,Entry Level Data Analyst,Vertex Financial Group,"Los Angeles, CA",Hospitality,Entry,Hybrid,51000,77000,64000,Data Modeling; Data Visualization; Excel; SQL; Snowflake,2025-09-10,126
100114,Entry Level Data Analyst,Northwind Analytics,"Charlotte, NC",Logistics & Supply Chain,Entry,Hybrid,42000,64000,53000,AWS; Python; SQL; VBA,2026-03-03,274
100115,Financial Data Analyst,Willow Hospitality,"Minneapolis, MN",Real Estate,Mid,Hybrid,57500,85000,71250,Data Modeling; SQL; Snowflake,2026-04-09,332
100116,Data Analyst Intern,Summit Media Co,"Seattle, WA",Media & Entertainment,Entry,Hybrid,59000,83500,71250,AWS; Azure; Business Intelligence; Data Visualization; Google Analytics; R; SQL,2026-03-23,150
100117,Senior Data Analyst,Pinnacle Consulting,"Denver, CO",Hospitality,Senior,Onsite,86000,135500,110750,Google Analytics; Python; R; SQL; Snowflake; Tableau; VBA,2025-12-20,293
100118,Data Analyst,Sapphire Cloud Services,"New York, NY",Retail,Mid,Remote,78000,111500,94750,Communication; Looker; SQL; VBA,2026-04-06,153
100119,Data Analytics Manager,Skyline Real Estate,"Atlanta, GA",Telecommunications,Senior,Onsite,83000,125500,104250,Business Intelligence; Excel; SQL,2026-05-07,78
100120,Marketing Data Analyst,Timberline Agriculture,"Los Angeles, CA",Nonprofit,Mid,Onsite,72000,104500,88250,Azure; Excel; Google Analytics; Power BI; SQL,2025-11-04,77
100121,Senior Data Analyst,BluePeak Retail,"Remote, US",Media & Entertainment,Senior,Onsite,87500,142000,114750,Data Modeling; Excel; Google Analytics; VBA,2026-03-21,244
100122,Entry Level Data Analyst,Coral Reef Travel,"Remote, US",Education,Entry,Remote,50000,66500,58250,Data Visualization; Excel; SQL; VBA,2026-03-11,310
100123,Entry Level Data Analyst,GreenLeaf Foods,"Miami, FL",Financial Services,Entry,Onsite,45000,68000,56500,Azure; Data Modeling; Data Visualization; Excel; SQL,2025-10-08,190
100124,Lead Data Analyst,GreenLeaf Foods,"Austin, TX",Media & Entertainment,Senior,Hybrid,96000,135000,115500,Data Modeling; ETL; Excel; Power BI; R; Tableau; VBA,2026-01-04,391
100125,Junior Data Analyst,Redwood Insurance,"Portland, OR",Logistics & Supply Chain,Entry,Hybrid,45000,63000,54000,Business Intelligence; Excel; SQL; Snowflake; Tableau,2025-09-22,206
100126,Data Analyst Intern,Falcon Security,"Remote, US",Energy,Entry,Hybrid,49000,66500,57750,AWS; Data Visualization; Excel; Google Analytics; Looker; SQL; VBA,2026-01-30,303
100127,Data Analytics Manager,Granite Construction,"New York, NY",Energy,Senior,Hybrid,112500,166500,139500,A/B Testing; Excel; Google Analytics; Looker; Machine Learning; R; SQL,2026-01-11,80
100128,Business Data Analyst,BluePeak Retail,"Philadelphia, PA",Nonprofit,Mid,Remote,59500,89500,74500,Communication; Data Modeling; Snowflake; Statistics,2025-08-01,366
100129,Junior Data Analyst,Aurora Biotech,"Denver, CO",Logistics & Supply Chain,Entry,Hybrid,48000,66500,57250,Azure; Business Intelligence; Data Visualization; Google Analytics; SQL,2026-06-14,334
100130,Data Analytics Manager,Crestline Airlines,"Raleigh, NC",Technology,Senior,Onsite,80000,120000,100000,Azure; Google Analytics; Looker; SQL; Statistics,2025-11-18,152
100131,Senior Data Analyst,TidalWave Gaming,"Miami, FL",Media & Entertainment,Senior,Onsite,84500,126000,105250,Data Modeling; Excel; Python; SQL,2026-02-12,340
100132,Data Analytics Manager,Falcon Security,"Raleigh, NC",Technology,Senior,Remote,82500,131500,107000,A/B Testing; Azure; Excel; Power BI; SQL,2026-03-29,120
100133,Business Data Analyst,BluePeak Retail,"Chicago, IL",Media & Entertainment,Mid,Hybrid,66500,99000,82750,Azure; Communication; R; SQL,2026-03-01,249
100134,Business Data Analyst,Willow Hospitality,"Remote, US",Manufacturing,Mid,Remote,60000,95500,77750,Azure; Business Intelligence; Communication; Excel; Looker; R; SQL,2025-07-19,208
100135,Entry Level Data Analyst,Summit Media Co,"Remote, US",Pharmaceuticals,Entry,Remote,46000,67500,56750,AWS; Azure; Business Intelligence; Excel; Snowflake,2026-03-16,244
100136,Data Analytics Manager,Redwood Insurance,"Chicago, IL",Manufacturing,Senior,Remote,92500,134500,113500,AWS; Excel; Google Analytics; SQL,2026-05-24,212
100137,Financial Data Analyst,Aurora Biotech,"Los Angeles, CA",Retail,Mid,Hybrid,69500,113500,91500,A/B Testing; ETL; Excel; Google Analytics; Machine Learning; SQL,2025-11-14,173
100138,Data Analytics Manager,TidalWave Gaming,"Philadelphia, PA",Financial Services,Senior,Remote,87000,128000,107500,AWS; Excel; SQL,2026-06-26,399
100139,Data Analytics Manager,Lighthouse Nonprofit,"Chicago, IL",Hospitality,Senior,Onsite,90500,142000,116250,Data Modeling; Excel; Looker; SQL,2026-01-29,364
100140,Lead Data Analyst,Vantage Pharma,"Raleigh, NC",Telecommunications,Senior,Hybrid,84000,118500,101250,Excel; Python; SQL; Snowflake,2026-04-15,62
100141,Data Analyst,Sapphire Cloud Services,"Miami, FL",Pharmaceuticals,Mid,Hybrid,62500,84500,73500,Business Intelligence; Excel; Power BI; SQL; Statistics,2025-07-29,237
100142,Junior Data Analyst,Aurora Biotech,"Minneapolis, MN",Education,Entry,Hybrid,45000,64500,54750,Data Modeling; ETL; Excel; Machine Learning; SQL,2025-07-24,221
100143,Marketing Data Analyst,Lighthouse Nonprofit,"Austin, TX",Logistics & Supply Chain,Mid,Onsite,71000,90500,80750,AWS; Communication; ETL; R; SQL; Tableau,2026-02-01,196
100144,Financial Data Analyst,Ironclad Manufacturing,"Phoenix, AZ",Media & Entertainment,Mid,Remote,62500,89500,76000,ETL; Power BI; R; SQL,2025-10-23,6
100145,Data Analyst,GreenLeaf Foods,"Washington, DC",Hospitality,Mid,Hybrid,69500,99500,84500,Business Intelligence; Data Visualization; SQL; Tableau,2025-08-27,21
100146,Financial Data Analyst,Crestline Airlines,"New York, NY",Technology,Mid,Remote,72500,103000,87750,A/B Testing; Business Intelligence; Data Modeling; ETL; Machine Learning; Power BI; SQL,2025-07-29,76
100147,Lead Data Analyst,GreenLeaf Foods,"Atlanta, GA",Real Estate,Senior,Onsite,85000,128000,106500,AWS; Excel; SQL; Snowflake; Tableau,2026-04-12,307
100148,Junior Data Analyst,Amber Fashion Group,"Minneapolis, MN",Logistics & Supply Chain,Entry,Hybrid,47500,67000,57250,Azure; Communication; Google Analytics; Looker; SQL; Tableau,2026-02-28,128
100149,Business Data Analyst,GreenLeaf Foods,"Seattle, WA",Telecommunications,Mid,Hybrid,72000,109000,90500,A/B Testing; ETL; Excel; SQL; Snowflake; Tableau,2026-02-16,194
100150,Senior Data Analyst,Nova Software,"Denver, CO",Financial Services,Senior,Remote,90500,135000,112750,Excel; SQL; VBA,2025-12-18,160
100151,Data Analyst,Redwood Insurance,"Denver, CO",Nonprofit,Mid,Remote,68000,91500,79750,A/B Testing; ETL; SQL; Statistics,2026-01-11,243
100152,Lead Data Analyst,Amber Fashion Group,"Charlotte, NC",Insurance,Senior,Remote,79500,119500,99500,Excel; Google Analytics; SQL,2026-04-15,118
100153,Junior Data Analyst,Northwind Analytics,"Dallas, TX",Logistics & Supply Chain,Entry,Onsite,46500,64500,55500,A/B Testing; Excel; Google Analytics; SQL,2026-04-08,340
100154,Marketing Data Analyst,Pinnacle Consulting,"Raleigh, NC",Nonprofit,Mid,Hybrid,59000,81500,70250,Azure; Excel; Looker; R; Tableau,2026-05-25,35
100155,Lead Data Analyst,BluePeak Retail,"Austin, TX",Real Estate,Senior,Hybrid,96000,138000,117000,Excel; Python; SQL; Tableau,2026-01-08,35
